County,County Code,Delivery Method,Delivery Method Code,Births
Unidentified Counties MO,29999,Cesarean,2,9655
Unidentified Counties MO,29999,Not Stated,9,140
Yellowstone County MT,30111,Vaginal,1,1386
Yellowstone County MT,30111,Cesarean,2,548
Unidentified Counties MT,30999,Vaginal,1,7314
Unidentified Counties MT,30999,Cesarean,2,3121
Douglas County NE,31055,Vaginal,1,5921
Douglas County NE,31055,Cesarean,2,2450
Lancaster County NE,31109,Vaginal,1,2800
Lancaster County NE,31109,Cesarean,2,1231
Sarpy County NE,31153,Vaginal,1,1829
Sarpy County NE,31153,Cesarean,2,710
Unidentified Counties NE,31999,Vaginal,1,7648
Unidentified Counties NE,31999,Cesarean,2,3506
Clark County NV,32003,Vaginal,1,16480
Clark County NV,32003,Cesarean,2,9557
Washoe County NV,32031,Vaginal,1,3710
Washoe County NV,32031,Cesarean,2,1620
Unidentified Counties NV,32999,Vaginal,1,2606
Unidentified Counties NV,32999,Cesarean,2,1057
Hillsborough County NH,33011,Vaginal,1,2941
Hillsborough County NH,33011,Cesarean,2,1305
Merrimack County NH,33013,Vaginal,1,923
Merrimack County NH,33013,Cesarean,2,417
Rockingham County NH,33015,Vaginal,1,1752
Rockingham County NH,33015,Cesarean,2,852
Strafford County NH,33017,Vaginal,1,912
Strafford County NH,33017,Cesarean,2,365
Unidentified Counties NH,33999,Vaginal,1,2131
Unidentified Counties NH,33999,Cesarean,2,792
Atlantic County NJ,34001,Vaginal,1,1882
Atlantic County NJ,34001,Cesarean,2,1269
Atlantic County NJ,34001,Not Stated,9,22
Bergen County NJ,34003,Vaginal,1,5323
Bergen County NJ,34003,Cesarean,2,3843
Bergen County NJ,34003,Not Stated,9,83
Burlington County NJ,34005,Vaginal,1,2641
Burlington County NJ,34005,Cesarean,2,1766
Burlington County NJ,34005,Not Stated,9,75
Camden County NJ,34007,Vaginal,1,4133
Camden County NJ,34007,Cesarean,2,2162
Camden County NJ,34007,Not Stated,9,48
Cape May County NJ,34009,Vaginal,1,484
Cape May County NJ,34009,Cesarean,2,343
Cape May County NJ,34009,Not Stated,9,14
Cumberland County NJ,34011,Vaginal,1,1214
Cumberland County NJ,34011,Cesarean,2,725
Essex County NJ,34013,Vaginal,1,6277
Essex County NJ,34013,Cesarean,2,3921
Essex County NJ,34013,Not Stated,9,62
Gloucester County NJ,34015,Vaginal,1,1819
Gloucester County NJ,34015,Cesarean,2,1157
Hudson County NJ,34017,Vaginal,1,5783
Hudson County NJ,34017,Cesarean,2,4362
Hudson County NJ,34017,Not Stated,9,61
Hunterdon County NJ,34019,Vaginal,1,561
Hunterdon County NJ,34019,Cesarean,2,312
Mercer County NJ,34021,Vaginal,1,2676
Mercer County NJ,34021,Cesarean,2,1491
Mercer County NJ,34021,Not Stated,9,17
Middlesex County NJ,34023,Vaginal,1,5655
Middlesex County NJ,34023,Cesarean,2,3572
Middlesex County NJ,34023,Not Stated,9,69
Monmouth County NJ,34025,Vaginal,1,3724
Monmouth County NJ,34025,Cesarean,2,2183
Monmouth County NJ,34025,Not Stated,9,127
Morris County NJ,34027,Vaginal,1,2710
Morris County NJ,34027,Cesarean,2,1825
Morris County NJ,34027,Not Stated,9,27
Ocean County NJ,34029,Vaginal,1,5974
Ocean County NJ,34029,Cesarean,2,1988
Ocean County NJ,34029,Not Stated,9,47
Passaic County NJ,34031,Vaginal,1,3770
Passaic County NJ,34031,Cesarean,2,3128
Passaic County NJ,34031,Not Stated,9,36
Somerset County NJ,34035,Vaginal,1,2016
Somerset County NJ,34035,Cesarean,2,1312
Somerset County NJ,34035,Not Stated,9,19
Sussex County NJ,34037,Vaginal,1,754
Sussex County NJ,34037,Cesarean,2,499
Union County NJ,34039,Vaginal,1,4180
Union County NJ,34039,Cesarean,2,2614
Union County NJ,34039,Not Stated,9,75
Warren County NJ,34041,Vaginal,1,623
Warren County NJ,34041,Cesarean,2,393
Unidentified Counties NJ,34999,Vaginal,1,465
Unidentified Counties NJ,34999,Cesarean,2,233
Bernalillo County NM,35001,Vaginal,1,6221
Bernalillo County NM,35001,Cesarean,2,1894
Dona Ana County NM,35013,Vaginal,1,2098
Dona Ana County NM,35013,Cesarean,2,842
San Juan County NM,35045,Vaginal,1,1397
San Juan County NM,35045,Cesarean,2,508
Santa Fe County NM,35049,Vaginal,1,1072
Santa Fe County NM,35049,Cesarean,2,238
Unidentified Counties NM,35999,Vaginal,1,9171
Unidentified Counties NM,35999,Cesarean,2,2913
Albany County NY,36001,Vaginal,1,2056
Albany County NY,36001,Cesarean,2,1029
Bronx County NY,36005,Vaginal,1,14331
Bronx County NY,36005,Cesarean,2,7079
Broome County NY,36007,Vaginal,1,1303
Broome County NY,36007,Cesarean,2,763
Chautauqua County NY,36013,Vaginal,1,849
Chautauqua County NY,36013,Cesarean,2,478
Chautauqua County NY,36013,Not Stated,9,29
Dutchess County NY,36027,Vaginal,1,1614
Dutchess County NY,36027,Cesarean,2,996
Erie County NY,36029,Vaginal,1,6437
Erie County NY,36029,Cesarean,2,3441
Erie County NY,36029,Not Stated,9,13
Jefferson County NY,36045,Vaginal,1,1694
Jefferson County NY,36045,Cesarean,2,511
Jefferson County NY,36045,Not Stated,9,16
Kings County NY,36047,Vaginal,1,28896
Kings County NY,36047,Cesarean,2,12341
Kings County NY,36047,Not Stated,9,16
Monroe County NY,36055,Vaginal,1,5815
Monroe County NY,36055,Cesarean,2,2551
Nassau County NY,36059,Vaginal,1,8568
Nassau County NY,36059,Cesarean,2,5306
New York County NY,36061,Vaginal,1,12206
New York County NY,36061,Cesarean,2,6350
New York County NY,36061,Not Stated,9,12
Niagara County NY,36063,Vaginal,1,1233
Niagara County NY,36063,Cesarean,2,959
Oneida County NY,36065,Vaginal,1,1678
Oneida County NY,36065,Cesarean,2,946
Onondaga County NY,36067,Vaginal,1,3560
Onondaga County NY,36067,Cesarean,2,1685
Ontario County NY,36069,Vaginal,1,741
Ontario County NY,36069,Cesarean,2,283
Orange County NY,36071,Vaginal,1,3405
Orange County NY,36071,Cesarean,2,1487
Orange County NY,36071,Not Stated,9,59
Oswego County NY,36075,Vaginal,1,904
Oswego County NY,36075,Cesarean,2,422
Oswego County NY,36075,Not Stated,9,11
Queens County NY,36081,Vaginal,1,19486
Queens County NY,36081,Cesarean,2,10670
Rensselaer County NY,36083,Vaginal,1,1196
Rensselaer County NY,36083,Cesarean,2,566
Richmond County NY,36085,Vaginal,1,3362
Richmond County NY,36085,Cesarean,2,2014
Rockland County NY,36087,Vaginal,1,3667
Rockland County NY,36087,Cesarean,2,1261
Rockland County NY,36087,Not Stated,9,167
St. Lawrence County NY,36089,Vaginal,1,655
St. Lawrence County NY,36089,Cesarean,2,495
St. Lawrence County NY,36089,Not Stated,9,64
Saratoga County NY,36091,Vaginal,1,1489
Saratoga County NY,36091,Cesarean,2,771
Schenectady County NY,36093,Vaginal,1,1206
Schenectady County NY,36093,Cesarean,2,514
Suffolk County NY,36103,Vaginal,1,8629
Suffolk County NY,36103,Cesarean,2,6919
Ulster County NY,36111,Vaginal,1,1014
Ulster County NY,36111,Cesarean,2,562
Westchester County NY,36119,Vaginal,1,6255
Westchester County NY,36119,Cesarean,2,4353
Unidentified Counties NY,36999,Vaginal,1,12926
Unidentified Counties NY,36999,Cesarean,2,6365
Unidentified Counties NY,36999,Not Stated,9,256
Alamance County NC,37001,Vaginal,1,1252
Alamance County NC,37001,Cesarean,2,533
Buncombe County NC,37021,Vaginal,1,1888
Buncombe County NC,37021,Cesarean,2,777
Cabarrus County NC,37025,Vaginal,1,1564
Cabarrus County NC,37025,Cesarean,2,748
Catawba County NC,37035,Vaginal,1,1186
Catawba County NC,37035,Cesarean,2,486
Cumberland County NC,37051,Vaginal,1,4108
Cumberland County NC,37051,Cesarean,2,1580
Davidson County NC,37057,Vaginal,1,1122
Davidson County NC,37057,Cesarean,2,603
Durham County NC,37063,Vaginal,1,3009
Durham County NC,37063,Cesarean,2,1184
Forsyth County NC,37067,Vaginal,1,3227
Forsyth County NC,37067,Cesarean,2,1296
Gaston County NC,37071,Vaginal,1,1625
Gaston County NC,37071,Cesarean,2,826
Guilford County NC,37081,Vaginal,1,4271
Guilford County NC,37081,Cesarean,2,1902
Iredell County NC,37097,Vaginal,1,1148
Iredell County NC,37097,Cesarean,2,604
Johnston County NC,37101,Vaginal,1,1513
Johnston County NC,37101,Cesarean,2,652
Mecklenburg County NC,37119,Vaginal,1,9396
Mecklenburg County NC,37119,Cesarean,2,4435
New Hanover County NC,37129,Vaginal,1,1659
New Hanover County NC,37129,Cesarean,2,583
Onslow County NC,37133,Vaginal,1,3201
Onslow County NC,37133,Cesarean,2,1127
Orange County NC,37135,Vaginal,1,901
Orange County NC,37135,Cesarean,2,290
Pitt County NC,37147,Vaginal,1,1462
Pitt County NC,37147,Cesarean,2,649
Randolph County NC,37151,Vaginal,1,1101
Randolph County NC,37151,Cesarean,2,488
Robeson County NC,37155,Vaginal,1,1303
Robeson County NC,37155,Cesarean,2,630
Rowan County NC,37159,Vaginal,1,1070
Rowan County NC,37159,Cesarean,2,449
Union County NC,37179,Vaginal,1,1591
Union County NC,37179,Cesarean,2,699
Wake County NC,37183,Vaginal,1,8767
Wake County NC,37183,Cesarean,2,3670
Wayne County NC,37191,Vaginal,1,1156
Wayne County NC,37191,Cesarean,2,549
Unidentified Counties NC,37999,Vaginal,1,25345
Unidentified Counties NC,37999,Cesarean,2,11363
Cass County ND,38017,Vaginal,1,1801
Cass County ND,38017,Cesarean,2,659
Unidentified Counties ND,38999,Vaginal,1,5769
Unidentified Counties ND,38999,Cesarean,2,2368
Allen County OH,39003,Vaginal,1,879
Allen County OH,39003,Cesarean,2,396
Ashtabula County OH,39007,Vaginal,1,759
Ashtabula County OH,39007,Cesarean,2,328
Butler County OH,39017,Vaginal,1,2982
Butler County OH,39017,Cesarean,2,1475
Clark County OH,39023,Vaginal,1,977
Clark County OH,39023,Cesarean,2,580
Clermont County OH,39025,Vaginal,1,1501
Clermont County OH,39025,Cesarean,2,770
Columbiana County OH,39029,Vaginal,1,703
Columbiana County OH,39029,Cesarean,2,391
Cuyahoga County OH,39035,Vaginal,1,10659
Cuyahoga County OH,39035,Cesarean,2,4252
Delaware County OH,39041,Vaginal,1,1568
Delaware County OH,39041,Cesarean,2,626
Fairfield County OH,39045,Vaginal,1,1197
Fairfield County OH,39045,Cesarean,2,526
Franklin County OH,39049,Vaginal,1,13284
Franklin County OH,39049,Cesarean,2,5482
Greene County OH,39057,Vaginal,1,1199
Greene County OH,39057,Cesarean,2,583
Hamilton County OH,39061,Vaginal,1,7159
Hamilton County OH,39061,Cesarean,2,3622
Lake County OH,39085,Vaginal,1,1612
Lake County OH,39085,Cesarean,2,716
Licking County OH,39089,Vaginal,1,1357
Licking County OH,39089,Cesarean,2,544
Lorain County OH,39093,Vaginal,1,2350
Lorain County OH,39093,Cesarean,2,956
Lucas County OH,39095,Vaginal,1,3959
Lucas County OH,39095,Cesarean,2,1714
Mahoning County OH,39099,Vaginal,1,1499
Mahoning County OH,39099,Cesarean,2,911
Medina County OH,39103,Vaginal,1,1173
Medina County OH,39103,Cesarean,2,545
Montgomery County OH,39113,Vaginal,1,4501
Montgomery County OH,39113,Cesarean,2,2245
Portage County OH,39133,Vaginal,1,996
Portage County OH,39133,Cesarean,2,464
Richland County OH,39139,Vaginal,1,1008
Richland County OH,39139,Cesarean,2,423
Stark County OH,39151,Vaginal,1,2861
Stark County OH,39151,Cesarean,2,1361
Summit County OH,39153,Vaginal,1,4255
Summit County OH,39153,Cesarean,2,1828
Trumbull County OH,39155,Vaginal,1,1424
Trumbull County OH,39155,Cesarean,2,729
Warren County OH,39165,Vaginal,1,1623
Warren County OH,39165,Cesarean,2,739
Wayne County OH,39169,Vaginal,1,1141
Wayne County OH,39169,Cesarean,2,478
Wood County OH,39173,Vaginal,1,913
Wood County OH,39173,Cesarean,2,469
Unidentified Counties OH,39999,Vaginal,1,22214
Unidentified Counties OH,39999,Cesarean,2,9977
Unidentified Counties OH,39999,Not Stated,9,15
Cleveland County OK,40027,Vaginal,1,1977
Cleveland County OK,40027,Cesarean,2,1037
Comanche County OK,40031,Vaginal,1,1429
Comanche County OK,40031,Cesarean,2,528
Oklahoma County OK,40109,Vaginal,1,8373
Oklahoma County OK,40109,Cesarean,2,4102
Tulsa County OK,40143,Vaginal,1,6298
Tulsa County OK,40143,Cesarean,2,2966
Unidentified Counties OK,40999,Vaginal,1,17250
Unidentified Counties OK,40999,Cesarean,2,9406
Clackamas County OR,41005,Vaginal,1,2872
Clackamas County OR,41005,Cesarean,2,1080
Deschutes County OR,41017,Vaginal,1,1260
Deschutes County OR,41017,Cesarean,2,469
Douglas County OR,41019,Vaginal,1,792
Douglas County OR,41019,Cesarean,2,272
Jackson County OR,41029,Vaginal,1,1603
Jackson County OR,41029,Cesarean,2,717
Lane County OR,41039,Vaginal,1,2424
Lane County OR,41039,Cesarean,2,1102
Linn County OR,41043,Vaginal,1,1034
Linn County OR,41043,Cesarean,2,388
Marion County OR,41047,Vaginal,1,3136
Marion County OR,41047,Cesarean,2,1185
Multnomah County OR,41051,Vaginal,1,6897
Multnomah County OR,41051,Cesarean,2,2602
Washington County OR,41067,Vaginal,1,5179
Washington County OR,41067,Cesarean,2,1976
Unidentified Counties OR,41999,Vaginal,1,7332
Unidentified Counties OR,41999,Cesarean,2,2834
Allegheny County PA,42003,Vaginal,1,9133
Allegheny County PA,42003,Cesarean,2,4119
Allegheny County PA,42003,Not Stated,9,68
Beaver County PA,42007,Vaginal,1,1099
Beaver County PA,42007,Cesarean,2,604
Berks County PA,42011,Vaginal,1,3462
Berks County PA,42011,Cesarean,2,1394
Blair County PA,42013,Vaginal,1,1008
Blair County PA,42013,Cesarean,2,383
Bucks County PA,42017,Vaginal,1,3636
Bucks County PA,42017,Cesarean,2,2176
Butler County PA,42019,Vaginal,1,1196
Butler County PA,42019,Cesarean,2,598
Cambria County PA,42021,Vaginal,1,977
Cambria County PA,42021,Cesarean,2,306
Centre County PA,42027,Vaginal,1,903
Centre County PA,42027,Cesarean,2,340
Chester County PA,42029,Vaginal,1,3705
Chester County PA,42029,Cesarean,2,1735
Cumberland County PA,42041,Vaginal,1,1795
Cumberland County PA,42041,Cesarean,2,791
Dauphin County PA,42043,Vaginal,1,2407
Dauphin County PA,42043,Cesarean,2,1054
Delaware County PA,42045,Vaginal,1,4335
Delaware County PA,42045,Cesarean,2,2242
Erie County PA,42049,Vaginal,1,2030
Erie County PA,42049,Cesarean,2,1146
Fayette County PA,42051,Vaginal,1,938
Fayette County PA,42051,Cesarean,2,490
Franklin County PA,42055,Vaginal,1,1328
Franklin County PA,42055,Cesarean,2,510
Lackawanna County PA,42069,Vaginal,1,1386
Lackawanna County PA,42069,Cesarean,2,821
Lancaster County PA,42071,Vaginal,1,5098
Lancaster County PA,42071,Cesarean,2,1992
Lebanon County PA,42075,Vaginal,1,1039
Lebanon County PA,42075,Cesarean,2,538
Lehigh County PA,42077,Vaginal,1,2997
Lehigh County PA,42077,Cesarean,2,1157
Luzerne County PA,42079,Vaginal,1,2064
Luzerne County PA,42079,Cesarean,2,1094
Lycoming County PA,42081,Vaginal,1,855
Lycoming County PA,42081,Cesarean,2,424
Mercer County PA,42085,Vaginal,1,783
Mercer County PA,42085,Cesarean,2,360
Monroe County PA,42089,Vaginal,1,924
Monroe County PA,42089,Cesarean,2,507
Montgomery County PA,42091,Vaginal,1,5897
Montgomery County PA,42091,Cesarean,2,2855
Northampton County PA,42095,Vaginal,1,1883
Northampton County PA,42095,Cesarean,2,937
Philadelphia County PA,42101,Vaginal,1,15562
Philadelphia County PA,42101,Cesarean,2,6700
Philadelphia County PA,42101,Not Stated,9,28
Schuylkill County PA,42107,Vaginal,1,933
Schuylkill County PA,42107,Cesarean,2,419
Washington County PA,42125,Vaginal,1,1423
Washington County PA,42125,Cesarean,2,582
Washington County PA,42125,Not Stated,9,11
Westmoreland County PA,42129,Vaginal,1,2208
Westmoreland County PA,42129,Cesarean,2,937
York County PA,42133,Vaginal,1,3431
York County PA,42133,Cesarean,2,1497
Unidentified Counties PA,42999,Vaginal,1,12239
Unidentified Counties PA,42999,Cesarean,2,5364
Unidentified Counties PA,42999,Not Stated,9,38
Kent County RI,44003,Vaginal,1,1060
Kent County RI,44003,Cesarean,2,507
Providence County RI,44007,Vaginal,1,5066
Providence County RI,44007,Cesarean,2,2190
Providence County RI,44007,Not Stated,9,26
Washington County RI,44009,Vaginal,1,623
Washington County RI,44009,Cesarean,2,286
Unidentified Counties RI,44999,Vaginal,1,658
Unidentified Counties RI,44999,Cesarean,2,386
Aiken County SC,45003,Vaginal,1,1175
Aiken County SC,45003,Cesarean,2,616
Anderson County SC,45007,Vaginal,1,1486
Anderson County SC,45007,Cesarean,2,800
Beaufort County SC,45013,Vaginal,1,1469
Beaufort County SC,45013,Cesarean,2,609
Berkeley County SC,45015,Vaginal,1,1732
Berkeley County SC,45015,Cesarean,2,876
Charleston County SC,45019,Vaginal,1,3180
Charleston County SC,45019,Cesarean,2,1588
Florence County SC,45041,Vaginal,1,961
Florence County SC,45041,Cesarean,2,758
Greenville County SC,45045,Vaginal,1,4088
Greenville County SC,45045,Cesarean,2,1975
Horry County SC,45051,Vaginal,1,1880
Horry County SC,45051,Cesarean,2,1293
Lexington County SC,45063,Vaginal,1,2031
Lexington County SC,45063,Cesarean,2,1220
Pickens County SC,45077,Vaginal,1,773
Pickens County SC,45077,Cesarean,2,389
Richland County SC,45079,Vaginal,1,3063
Richland County SC,45079,Cesarean,2,1734
Spartanburg County SC,45083,Vaginal,1,2314
Spartanburg County SC,45083,Cesarean,2,1181
Sumter County SC,45085,Vaginal,1,1054
Sumter County SC,45085,Cesarean,2,473
York County SC,45091,Vaginal,1,1961
York County SC,45091,Cesarean,2,930
Unidentified Counties SC,45999,Vaginal,1,9723
Unidentified Counties SC,45999,Cesarean,2,5451
Minnehaha County SD,46099,Vaginal,1,2104
Minnehaha County SD,46099,Cesarean,2,760
Unidentified Counties SD,46999,Vaginal,1,7015
Unidentified Counties SD,46999,Cesarean,2,2369
Blount County TN,47009,Vaginal,1,973
Blount County TN,47009,Cesarean,2,332
Davidson County TN,47037,Vaginal,1,6499
Davidson County TN,47037,Cesarean,2,3415
Hamilton County TN,47065,Vaginal,1,2795
Hamilton County TN,47065,Cesarean,2,1376
Knox County TN,47093,Vaginal,1,3525
Knox County TN,47093,Cesarean,2,1590
Montgomery County TN,47125,Vaginal,1,2232
Montgomery County TN,47125,Cesarean,2,996
Rutherford County TN,47149,Vaginal,1,2278
Rutherford County TN,47149,Cesarean,2,1464
Shelby County TN,47157,Vaginal,1,8929
Shelby County TN,47157,Cesarean,2,4840
Sullivan County TN,47163,Vaginal,1,1006
Sullivan County TN,47163,Cesarean,2,582
Sumner County TN,47165,Vaginal,1,1291
Sumner County TN,47165,Cesarean,2,710
Washington County TN,47179,Vaginal,1,872
Washington County TN,47179,Cesarean,2,457
Williamson County TN,47187,Vaginal,1,1335
Williamson County TN,47187,Cesarean,2,763
Unidentified Counties TN,47999,Vaginal,1,21575
Unidentified Counties TN,47999,Cesarean,2,10155
Bell County TX,48027,Vaginal,1,4627
Bell County TX,48027,Cesarean,2,1738
Bexar County TX,48029,Vaginal,1,17215
Bexar County TX,48029,Cesarean,2,9605
Brazoria County TX,48039,Vaginal,1,2898
Brazoria County TX,48039,Cesarean,2,1778
Brazos County TX,48041,Vaginal,1,1782
Brazos County TX,48041,Cesarean,2,853
Cameron County TX,48061,Vaginal,1,3767
Cameron County TX,48061,Cesarean,2,3616
Collin County TX,48085,Vaginal,1,6336
Collin County TX,48085,Cesarean,2,4264
Dallas County TX,48113,Vaginal,1,26932
Dallas County TX,48113,Cesarean,2,11778
Denton County TX,48121,Vaginal,1,6137
Denton County TX,48121,Cesarean,2,3426
Ector County TX,48135,Vaginal,1,2104
Ector County TX,48135,Cesarean,2,811
Ellis County TX,48139,Vaginal,1,1396
Ellis County TX,48139,Cesarean,2,664
El Paso County TX,48141,Vaginal,1,8208
El Paso County TX,48141,Cesarean,2,5378
Fort Bend County TX,48157,Vaginal,1,5382
Fort Bend County TX,48157,Cesarean,2,3155
Galveston County TX,48167,Vaginal,1,2488
Galveston County TX,48167,Cesarean,2,1473
Grayson County TX,48181,Vaginal,1,943
Grayson County TX,48181,Cesarean,2,565
Gregg County TX,48183,Vaginal,1,1367
Gregg County TX,48183,Cesarean,2,513
Harris County TX,48201,Vaginal,1,44529
Harris County TX,48201,Cesarean,2,23790
Hidalgo County TX,48215,Vaginal,1,9255
Hidalgo County TX,48215,Cesarean,2,6813
Jefferson County TX,48245,Vaginal,1,1956
Jefferson County TX,48245,Cesarean,2,1582
Johnson County TX,48251,Vaginal,1,1419
Johnson County TX,48251,Cesarean,2,591
Lubbock County TX,48303,Vaginal,1,3021
Lubbock County TX,48303,Cesarean,2,1106
McLennan County TX,48309,Vaginal,1,2506
McLennan County TX,48309,Cesarean,2,1011
Midland County TX,48329,Vaginal,1,1954
Midland County TX,48329,Cesarean,2,746
Montgomery County TX,48339,Vaginal,1,4120
Montgomery County TX,48339,Cesarean,2,2507
Nueces County TX,48355,Vaginal,1,3076
Nueces County TX,48355,Cesarean,2,1878
Potter County TX,48375,Vaginal,1,1455
Potter County TX,48375,Cesarean,2,617
Randall County TX,48381,Vaginal,1,1145
Randall County TX,48381,Cesarean,2,547
Smith County TX,48423,Vaginal,1,2219
Smith County TX,48423,Cesarean,2,876
Tarrant County TX,48439,Vaginal,1,18422
Tarrant County TX,48439,Cesarean,2,9416
Taylor County TX,48441,Vaginal,1,1410
Taylor County TX,48441,Cesarean,2,590
Tom Green County TX,48451,Vaginal,1,1029
Tom Green County TX,48451,Cesarean,2,529
Travis County TX,48453,Vaginal,1,10475
Travis County TX,48453,Cesarean,2,5247
Webb County TX,48479,Vaginal,1,2845
Webb County TX,48479,Cesarean,2,2710
Wichita County TX,48485,Vaginal,1,1243
Wichita County TX,48485,Cesarean,2,522
Williamson County TX,48491,Vaginal,1,4053
Williamson County TX,48491,Cesarean,2,1997
Unidentified Counties TX,48999,Vaginal,1,43202
Unidentified Counties TX,48999,Cesarean,2,23699
Davis County UT,49011,Vaginal,1,4366
Davis County UT,49011,Cesarean,2,1375
Salt Lake County UT,49035,Vaginal,1,13803
Salt Lake County UT,49035,Cesarean,2,4242
Utah County UT,49049,Vaginal,1,9509
Utah County UT,49049,Cesarean,2,2351
Weber County UT,49057,Vaginal,1,2930
Weber County UT,49057,Cesarean,2,905
Unidentified Counties UT,49999,Vaginal,1,8945
Unidentified Counties UT,49999,Cesarean,2,2530
Chittenden County VT,50007,Vaginal,1,1215
Chittenden County VT,50007,Cesarean,2,385
Unidentified Counties VT,50999,Vaginal,1,3129
Unidentified Counties VT,50999,Cesarean,2,1243
Arlington County VA,51013,Vaginal,1,1956
Arlington County VA,51013,Cesarean,2,1246
Chesterfield County VA,51041,Vaginal,1,2442
Chesterfield County VA,51041,Cesarean,2,1324
Fairfax County VA,51059,Vaginal,1,8767
Fairfax County VA,51059,Cesarean,2,5885
Henrico County VA,51087,Vaginal,1,2476
Henrico County VA,51087,Cesarean,2,1424
Loudoun County VA,51107,Vaginal,1,3076
Loudoun County VA,51107,Cesarean,2,1938
Prince William County VA,51153,Vaginal,1,4372
Prince William County VA,51153,Cesarean,2,2426
Alexandria city VA,51510,Vaginal,1,1748
Alexandria city VA,51510,Cesarean,2,1058
Chesapeake city VA,51550,Vaginal,1,1846
Chesapeake city VA,51550,Cesarean,2,939
Hampton city VA,51650,Vaginal,1,1335
Hampton city VA,51650,Cesarean,2,488
Newport News city VA,51700,Vaginal,1,2043
Newport News city VA,51700,Cesarean,2,818
Norfolk city VA,51710,Vaginal,1,2620
Norfolk city VA,51710,Cesarean,2,1117
Portsmouth city VA,51740,Vaginal,1,1074
Portsmouth city VA,51740,Cesarean,2,476
Richmond city VA,51760,Vaginal,1,1946
Richmond city VA,51760,Cesarean,2,891
Virginia Beach city VA,51810,Vaginal,1,4135
Virginia Beach city VA,51810,Cesarean,2,1881
Unidentified Counties VA,51999,Vaginal,1,27840
Unidentified Counties VA,51999,Cesarean,2,12549
Benton County WA,53005,Vaginal,1,1800
Benton County WA,53005,Cesarean,2,712
Clark County WA,53011,Vaginal,1,3885
Clark County WA,53011,Cesarean,2,1451
King County WA,53033,Vaginal,1,17031
King County WA,53033,Cesarean,2,7870
Kitsap County WA,53035,Vaginal,1,2042
Kitsap County WA,53035,Cesarean,2,793
Pierce County WA,53053,Vaginal,1,8082
Pierce County WA,53053,Cesarean,2,3036
Skagit County WA,53057,Vaginal,1,1057
Skagit County WA,53057,Cesarean,2,380
Snohomish County WA,53061,Vaginal,1,6707
Snohomish County WA,53061,Cesarean,2,2705
Spokane County WA,53063,Vaginal,1,4577
Spokane County WA,53063,Cesarean,2,1484
Thurston County WA,53067,Vaginal,1,2284
Thurston County WA,53067,Cesarean,2,758
Whatcom County WA,53073,Vaginal,1,1601
Whatcom County WA,53073,Cesarean,2,642
Yakima County WA,53077,Vaginal,1,3140
Yakima County WA,53077,Cesarean,2,813
Unidentified Counties WA,53999,Vaginal,1,9858
Unidentified Counties WA,53999,Cesarean,2,3868
Kanawha County WV,54039,Vaginal,1,1281
Kanawha County WV,54039,Cesarean,2,972
Unidentified Counties WV,54999,Vaginal,1,12012
Unidentified Counties WV,54999,Cesarean,2,6483
Unidentified Counties WV,54999,Not Stated,9,74
Brown County WI,55009,Vaginal,1,2553
Brown County WI,55009,Cesarean,2,836
Dane County WI,55025,Vaginal,1,4494
Dane County WI,55025,Cesarean,2,1564
Kenosha County WI,55059,Vaginal,1,1365
Kenosha County WI,55059,Cesarean,2,624
La Crosse County WI,55063,Vaginal,1,972
La Crosse County WI,55063,Cesarean,2,259
Marathon County WI,55073,Vaginal,1,1117
Marathon County WI,55073,Cesarean,2,457
Milwaukee County WI,55079,Vaginal,1,10661
Milwaukee County WI,55079,Cesarean,2,3344
Milwaukee County WI,55079,Not Stated,9,20
Outagamie County WI,55087,Vaginal,1,1659
Outagamie County WI,55087,Cesarean,2,604
Racine County WI,55101,Vaginal,1,1718
Racine County WI,55101,Cesarean,2,659
Rock County WI,55105,Vaginal,1,1349
Rock County WI,55105,Cesarean,2,605
Sheboygan County WI,55117,Vaginal,1,906
Sheboygan County WI,55117,Cesarean,2,326
Washington County WI,55131,Vaginal,1,915
Washington County WI,55131,Cesarean,2,426
Waukesha County WI,55133,Vaginal,1,2753
Waukesha County WI,55133,Cesarean,2,943
Winnebago County WI,55139,Vaginal,1,1325
Winnebago County WI,55139,Cesarean,2,529
Unidentified Counties WI,55999,Vaginal,1,17352
Unidentified Counties WI,55999,Cesarean,2,6278
Unidentified Counties WI,55999,Not Stated,9,17
Unidentified Counties WY,56999,Vaginal,1,5435
Unidentified Counties WY,56999,Cesarean,2,2209
